Headline,Link,Source & Time
Chip stocks fall as Nvidia supplier highlights market uncertainty,https://finance.yahoo.com/news/chip-stocks-fall-as-nvidia-supplier-highlights-market-uncertainty-150914100.html,Yahoo Finance•2 hours ago
Costco defends its diversity policies as others scale theirs back,https://finance.yahoo.com/news/costco-defends-diversity-policies-other-234226567.html,Associated Press Finance•29 minutes ago
Trump opens a divide between US and EU over Big Tech,https://finance.yahoo.com/news/trump-opens-a-divide-between-us-and-eu-over-big-tech-213413056.html,Yahoo Finance•1 hour ago
Texas asks Wall Street firms for details about DEI efforts,https://finance.yahoo.com/news/texas-asks-wall-street-firms-210000518.html,Bloomberg•1 hour ago
"Boeing sees $3.5B cash flow loss due to labor strikes, layoffs",https://finance.yahoo.com/news/boeing-sees-35b-cash-flow-loss-due-to-labor-strikes-and-layoffs-in-the-fourth-quarter-222810747.html,Yahoo Finance•1 hour ago
Billionaire McCourt says he is open to teaming up on a TikTok bid,https://finance.yahoo.com/news/billionaire-mccourt-says-open-teaming-215344797.html,Reuters•7 minutes ago
JPMorgan CEO Dimon's 2024 pay rises after record profit,https://finance.yahoo.com/news/jpmorgan-ceo-dimons-2024-compensation-213313742.html,Reuters•1 hour ago
"Mitsubishi Motors considering not joining Nissan-Honda merger, Yomiuri says",https://finance.yahoo.com/news/mitsubishi-motors-considering-not-joining-232546770.html,Reuters•4 minutes ago
Capital One Quicksilver vs. Savor: Your top cash-back pick depends on your spending habits,https://finance.yahoo.com/personal-finance/credit-cards/comparison/capital-one-quicksilver-vs-savor-232222530.html,Yahoo Personal Finance•7 minutes ago
"Boeing took nearly $3 billion hit in Q4 related to strike, layoffs and troubled government programs",https://finance.yahoo.com/news/boeing-took-nearly-3-billion-230913682.html,Associated Press Finance•20 minutes ago
Founder of AI chatbot startup GameOn indicted for fraud in San Francisco,https://finance.yahoo.com/news/founder-ai-chatbot-startup-gameon-230436565.html,Reuters•25 minutes ago
Costco shareholders vote against proposal for report on diversity programs,https://finance.yahoo.com/news/costco-shareholders-vote-against-proposal-230023707.html,Reuters•29 minutes ago
Stock rally stalls as S&P 500 pulls back after inching toward record highs,https://finance.yahoo.com/news/stock-rally-stalls-p-500-225708403.html,Business Insider•32 minutes ago
"Marriott Bonvoy: Get free nights, statement credits, and bonus points with these limited-time welcome offers",https://finance.yahoo.com/personal-finance/credit-cards/article/marriott-bonvoy-credit-card-limited-offer-225517930.html,Yahoo Personal Finance•34 minutes ago
Asian Shares to Ride Wall Street Wave of Optimism: Markets Wrap,https://finance.yahoo.com/news/asian-shares-ride-wall-street-224004019.html,Bloomberg•50 minutes ago
Ethereum Gets Wall Street Sales Force as Token Lags Bitcoin,https://finance.yahoo.com/news/ethereum-gets-wall-street-sales-231958739.html,Bloomberg•11 hours ago
New York obtains $1.065 billion judgment against accused predatory lender,https://finance.yahoo.com/news/york-obtains-1-065-billion-181518857.html,Reuters•yesterday
Tesla Just Raised Prices in a Key Market. What It Means for the Stock.,https://finance.yahoo.com/m/ae1edaef-311a-3a14-92ed-52c74ba69ec5/tesla-just-raised-prices-in-a.html,Barrons.com•2 hours ago
"OpenAI, SoftBank each commit $19 billion to Stargate AI data center, the Information reports",https://finance.yahoo.com/news/openai-softbank-commit-19-billion-012918029.html,Reuters•22 hours ago
Analyst Report: SL Green Realty Corp.,https://finance.yahoo.com/research/reports/MS_0P000004RX_AnalystReport_1737661879000?yptr=yahoo&ncid=yahooproperties_plusresear_nm5q6ze1cei,Morningstar Research•3 hours ago
"Why AI Stocks Broadcom, Lam Research, and Monolithic Power Are Rising Today",https://finance.yahoo.com/news/why-ai-stocks-broadcom-lam-200111755.html,Motley Fool•yesterday
MPLX Nears 10-Year High On Trump Boost,https://finance.yahoo.com/m/36b82f1e-e00a-3c78-a3ef-cb8e76e46f27/mplx-nears-10-year-high-on.html,Investor's Business Daily•yesterday
